Nom_Region,Marocains,Etrangers,Menages,Population,OBJECTID
TANGER-TETOUAN-AL HOCEIMA,3549276.0,7453.0,799124.0,3556729.0,1
ORIENTAL-RIF,2310392.0,3954.0,494530.0,2314346.0,2
FES-MEKNES,4231164.0,5728.0,919497.0,4236892.0,3
RABAT-SALE-KENITRA,4560654.0,20212.0,1015107.0,4580866.0,4
BENI MELLAL-KHENIFRA,2519514.0,1262.0,520174.0,2520776.0,5
MARRAKECH-SAFI,4511933.0,8636.0,928120.0,4520569.0,6
DRAA-TAFILALET,1634212.0,796.0,277998.0,1635008.0,7
SOUSS-MASSA,2671933.0,4914.0,601511.0,2676847.0,8
GUELMIM-OUED NOUN,433410.0,347.0,90202.0,433757.0,9
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,366981.0,777.0,78754.0,367758.0,10
ED DAKHLA-OUED EDDAHAB,142067.0,888.0,29385.0,142955.0,11
CASABLANCA-SETTAT,6830500.0,31239.0,1559404.0,6861739.0,14
